Control ID,Control Name,Control Description,Azure Services,Azure Implementation,Evidence Types,Status,Owner,Implementation Notes,Testing Method,Frequency
A.8.20,Networks security management,Secure network infrastructure and services,Azure networking; NSGs; Firewalls; Network monitoring,Network security controls; segmentation; monitoring; intrusion detection; secure configurations,Network security policies; NSG rules; Firewall logs; IDS alerts,Implemented,NetOps,Network segmentation using Azure NSGs; Azure Firewall for filtering; continuous network monitoring,Network security testing; Segmentation verification; Monitoring effectiveness assessment,Monthly
A.8.21,Security of network services,Secure network services,Network service security; Service hardening; Access controls,Network services security; service hardening; access controls; regular security assessments,Service configurations; Hardening documentation; Access control reports; Security assessments,Implemented,NetOps,Network services hardened per security baselines; access controls implemented; quarterly assessments,Network service testing; Hardening verification; Access control validation,Quarterly
A.8.22,Segregation of networks,Segregate networks based on security requirements,Network segmentation; VLANs; Subnets; Micro-segmentation,Network segregation based on security zones; VLAN/subnet separation; micro-segmentation; traffic filtering,Network diagrams; Segmentation policies; VLAN configurations; Traffic flow analysis,Implemented,NetOps,Network segmentation aligned with security zones; micro-segmentation for critical systems,Segmentation testing; Traffic flow verification; Zone isolation validation,Quarterly
A.8.23,Web filtering,Filter web traffic to prevent access to malicious content,Web filtering; URL reputation; Content inspection,Web filtering controls; URL reputation checking; content inspection; policy enforcement,Web filtering policies; Block/allow lists; Content inspection logs; Policy violation reports,Implemented,SecOps,Web filtering using multiple reputation sources; content inspection; policy-based access control,Web filtering testing; Reputation accuracy verification; Content inspection validation,Monthly
A.8.24,Use of cryptography,Protect information using cryptographic controls,Azure Key Vault; Encryption services; Certificate management,Comprehensive cryptography program; key management; encryption standards; certificate lifecycle management,Encryption policies; Key inventory; Certificate reports; Compliance assessments,Implemented,SecArch,Azure Key Vault for key management; encryption at rest and in transit; certificate automation,Cryptography testing; Key management verification; Encryption validation,Quarterly
A.8.25,Secure system development life cycle,Implement secure development practices,Azure DevOps; Security testing; SAST/DAST; Code review,Secure SDLC implementation; security requirements; secure coding; testing; deployment controls,SDLC documentation; Security requirements; Test results; Code review records,Implemented,DevOps,Security integrated throughout SDLC; automated security testing; secure coding training,SDLC testing; Security requirement verification; Test effectiveness assessment,Per release
A.8.26,Application security requirements,Define and implement application security requirements,Application security framework; Threat modeling; Security requirements,Application security requirements; threat modeling; security architecture; secure design principles,Security requirements; Threat models; Architecture reviews; Design documentation,Implemented,AppSec,Application security requirements defined; threat modeling for all applications; security architecture reviews,Requirements testing; Threat model validation; Architecture review assessment,Per application
A.8.27,Secure system architecture and engineering principles,Apply secure architecture and engineering principles,Secure architecture framework; Design principles; Security patterns,Secure system architecture; design principles; security patterns; architecture reviews,Architecture documentation; Design reviews; Security patterns; Compliance assessments,Implemented,SecArch,Security architecture framework established; secure design patterns; regular architecture reviews,Architecture testing; Design principle verification; Pattern compliance assessment,Per project
A.8.28,Secure coding,Implement secure coding practices,Secure coding standards; Training; Code analysis tools,Secure coding practices; developer training; static analysis; code review; vulnerability remediation,Coding standards; Training records; SAST reports; Code review documentation,Implemented,DevOps,Secure coding standards enforced; developer security training; automated SAST scanning,Secure coding testing; Training effectiveness assessment; SAST accuracy verification,Monthly
A.8.29,Security testing in development and acceptance,Conduct security testing throughout development,Security testing tools; SAST/DAST/IAST; Penetration testing,Comprehensive security testing; automated and manual testing; penetration testing; vulnerability remediation,Test plans; SAST/DAST reports; Penetration test results; Remediation tracking,Implemented,AppSec,Automated security testing in CI/CD; quarterly penetration testing; vulnerability remediation tracking,Security testing validation; Tool effectiveness assessment; Remediation verification,Per release
A.8.30,Outsourced development,Secure outsourced development activities,Vendor management; Contract security; Code review,Outsourced development security; contract requirements; code review; security assessments,Vendor contracts; Security requirements; Code review records; Assessment reports,Implemented,Procurement,Security requirements in all development contracts; code review for outsourced development,Outsourced development testing; Contract compliance verification; Code review validation,Per contract
A.8.31,Separation of development test and operational environments,Separate development test and production environments,Environment separation; Access controls; Data isolation,Clear separation of environments; access controls; data sanitization; change management,Environment documentation; Access control reports; Data sanitization logs; Change management records,Implemented,DevOps,Physically and logically separated environments; role-based access; sanitized test data,Environment separation testing; Access control verification; Data isolation validation,Quarterly
A.8.32,Change management,Manage changes to information systems,Change management process; Approval workflows; Testing procedures,Formal change management; approval processes; testing requirements; rollback procedures,Change management procedures; Approval records; Test results; Rollback documentation,Implemented,IT Ops,Formal change management process; automated approval workflows; mandatory testing for production changes,Change management testing; Approval process verification; Testing validation,Per change
A.8.33,Test information,Protect test information and environments,Test data management; Data sanitization; Environment security,Test information protection; data sanitization; environment security; access controls,Test data procedures; Sanitization records; Environment security reports; Access control logs,Implemented,DevOps,Production data sanitized for testing; secure test environments; controlled access to test systems,Test data protection testing; Sanitization verification; Environment security validation,Quarterly
A.8.34,Protection of information systems during audit testing,Protect systems during audit activities,Audit procedures; System protection; Change control,Information system protection during audits; controlled access; minimal impact procedures; audit trails,Audit procedures; Access approvals; Impact assessments; Audit trail records,Implemented,Internal Audit,Audit procedures minimize system impact; read-only access where possible; all audit activities logged,Audit impact testing; Access control verification; Trail completeness validation,Per audit

